OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
1866,184,1865,1866,6037501002,501002,5010.02,15832733.23,16645.81178,6037501002,1400000US06037501002,6037501002,"Census Tract 5010.02, Los Angeles County, California",4860,2503,109,39,62,0,2015,132,86763,76,93,295,11,2016,3,0,23,28,0,1,17,0,11,1,2,24,39,3,1,0,19,7,16645.81178,5,184,-118.062058,33.982282
1867,161,1866,1867,6037501001,501001,5010.01,9567527.866,12856.70238,6037501001,1400000US06037501001,6037501001,"Census Tract 5010.01, Los Angeles County, California",3327,1444,0,67,0,0,1777,39,67252,46,41,232,12,2016,9,0,20,6,0,3,10,0,8,0,4,25,25,2,1,1,6,37,12856.70238,4,161,-118.0710051,33.9889208
1868,186,1867,1868,6037500404,500404,5004.04,12839259.21,14657.43267,6037500404,1400000US06037500404,6037500404,"Census Tract 5004.04, Los Angeles County, California",5066,2353,128,0,399,0,2095,91,80439,43,113,244,0,2016,11,0,15,12,3,2,9,0,22,0,2,10,44,1,1,0,18,35,14657.43267,1,186,-118.0740086,34.01395921
1869,163,1868,1869,6037500403,500403,5004.03,24211806.88,29547.44816,6037500403,1400000US06037500403,6037500403,"Census Tract 5004.03, Los Angeles County, California",4193,2724,43,29,276,0,1043,78,79495,88,57,240,9,2016,2,0,14,11,0,1,9,0,25,1,3,12,34,1,1,0,20,26,29547.44816,3,163,-118.0642429,34.01202615
1870,14,1869,1870,6037502802,502802,5028.02,41161258.81,36652.20933,6037502802,1400000US06037502802,6037502802,"Census Tract 5028.02, Los Angeles County, California",2550,1133,140,19,533,0,570,155,50372,25,46,91,10,2016,1,0,1,0,0,0,1,0,0,0,0,4,0,1,0,1,0,5,36652.20933,0,14,-118.0675935,33.93239401
1872,6,1871,1872,6037573601,573601,5736.01,39924785.16,32269.95737,6037573601,1400000US06037573601,6037573601,"Census Tract 5736.01, Los Angeles County, California",5942,4234,551,37,584,36,278,222,116117,20,113,126,55,2016,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,32269.95737,0,6,-118.1312793,33.82665661
1873,0,1872,1873,6037571504,571504,5715.04,16529193.39,16780.46901,6037571504,1400000US06037571504,6037571504,"Census Tract 5715.04, Los Angeles County, California",4565,1404,875,17,821,156,1057,235,70874,3,113,292,23,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16780.46901,0,0,-118.1697248,33.83871448
1874,32,1873,1874,6037571503,571503,5715.03,9785120.571,15094.34518,6037571503,1400000US06037571503,6037571503,"Census Tract 5715.03, Los Angeles County, California",4244,1291,917,9,1089,0,668,270,85278,81,57,274,41,2016,1,0,1,0,0,0,2,0,4,0,0,1,16,0,0,0,2,5,15094.34518,0,32,-118.1705893,33.84817245
1878,205,1877,1878,6037554406,554406,5544.06,11876911.37,15944.13938,6037554406,1400000US06037554406,6037554406,"Census Tract 5544.06, Los Angeles County, California",4650,1908,638,0,1140,0,816,148,85559,16,61,178,42,2016,2,0,13,17,0,3,15,1,25,0,6,19,76,1,0,0,13,12,15944.13938,2,205,-118.1125251,33.8726175
1879,303,1878,1879,6037554405,554405,5544.05,8240568.971,11740.79494,6037554405,1400000US06037554405,6037554405,"Census Tract 5544.05, Los Angeles County, California",2862,812,692,10,218,21,950,159,75968,49,81,216,0,2016,13,1,25,46,1,5,24,3,28,0,9,44,70,3,0,0,14,13,11740.79494,4,303,-118.1212268,33.8737651
