FID,X,Y
2814,-118.1713829,34.04050647
2821,-118.3235983,33.34107956
2822,-118.162594,34.03096656
2823,-118.165054,34.02520441
2853,-118.3901371,34.09033233
2882,-118.2597017,33.80833594
2884,-118.2859509,33.8189354
2885,-118.2754642,33.87125358
2907,-118.2800847,33.86510174
2932,-118.227054,33.88826632
2950,-118.1614552,33.89722439
2957,-118.2482784,34.05096961
2963,-118.089768,34.05341897
2992,-118.0823702,33.88902985
2993,-118.2260392,33.88858883
2997,-118.027462,33.92660896
2998,-118.0268575,33.89911083
3000,-118.0345091,33.94399085
3001,-118.0128283,33.92655559
3002,-117.993763,33.91806058
3141,-118.1386922,34.17808186
3157,-118.2231842,34.20476587
3158,-118.2231842,34.20476587
3170,-118.3038129,33.84355592
3203,-118.1216089,34.58467397
3205,-118.1053047,34.56878471
3207,-118.1227493,34.57980965
3220,-118.2014532,34.66027292
3221,-118.1434912,34.67507191
3222,-118.1481162,34.70396991
3223,-118.1306488,34.71515562
3269,-117.9521632,34.57246393
3271,-118.1277412,34.58406891
3329,-118.2102622,34.61845799
3342,-118.1528123,34.01239856
3357,-118.61049,34.24882947
3371,-118.2290853,33.93589462
3374,-118.081673,33.90219725
3377,-117.7486081,34.10784289
3401,-117.8894542,34.00223024
3403,-117.9583882,34.01989386
3417,-118.1018086,34.5812677
3448,-118.0552804,33.90853766
3449,-118.057625,33.90956176
3535,-118.0651732,33.82625982
3547,-118.0714801,34.14646429
3552,-117.7551151,34.11001388
3557,-118.0435289,33.93200822
3596,-118.1301552,34.67132091
3619,-118.0728088,34.12494526
3637,-118.2127762,33.93326984
3714,-117.9489631,34.04585985
3718,-117.9781121,34.05449286
3719,-117.9495193,34.03746344
3722,-117.9017492,34.01132749
3724,-117.9531538,34.00490309
3742,-118.2422187,34.22368323
3792,-118.2520042,33.96803183
3793,-118.2936961,33.9252081
3794,-118.1270743,34.58030106
3836,-118.3532782,34.09075883
3885,-118.1456444,33.87419825
3907,-118.0732911,34.6824693
3908,-118.1423782,34.69212892
3909,-117.7018961,34.59283152
3939,-118.1350821,34.01833428
3999,-118.0631632,34.06271286
4005,-118.4183626,34.3179824
4014,-117.8220164,34.10969282
4018,-118.0781869,33.88437009
4024,-118.2562046,33.98420014
4042,-118.1772718,34.04025412
4048,-118.1836266,34.03381657
4065,-118.1542996,34.01971057
4083,-117.9172388,34.02640156
4088,-117.9699407,34.03547064
4108,-118.0996461,33.91674154
4126,-118.1573422,33.89737084
4127,-118.1547462,33.88731284
4134,-117.8201951,34.11395388
4135,-117.8136611,34.10307088
4142,-118.0692102,33.96810484
4143,-118.0955797,33.98920269
4179,-118.1715556,34.04509776
4212,-118.242324,33.82424254
4236,-118.1117783,34.16944767
4265,-118.0901735,34.06373651
4271,-118.1512992,33.88928984
4272,-118.1688482,33.90359383
4310,-118.140947,34.01719999
4332,-118.1167756,34.58696017
4334,-118.1313176,34.01563471
4335,-118.1276472,34.5805309
4337,-117.9493002,34.54315091
4358,-118.2346395,33.92307275
4393,-118.0993102,33.92219083
4405,-118.4959203,34.45640887
4408,-118.5709052,34.38269134
4414,-118.5036842,34.36517286
4429,-118.1093694,33.9704898
4449,-118.2550309,33.98772484
4454,-118.1253122,33.89658984
4458,-118.1421383,33.88512218
4461,-118.1513932,33.90105984
4470,-118.0791027,33.91184708
4473,-118.1000792,33.90216084
4542,-118.1945122,33.89614983
4543,-118.2050372,33.90438783
4560,-118.2390582,33.92948083
4572,-118.1711713,33.8823955
4575,-118.1818831,33.9248048
4583,-118.0823772,33.88971183
4594,-118.6130563,34.4504601
4615,-118.0811556,33.91252413
4617,-118.0817728,33.91422722
4619,-118.0823924,33.91522442
4620,-118.1362394,34.58280129
4621,-118.0807402,33.90215983
4622,-118.0821938,33.91676411
4623,-118.079648,33.91194505
4624,-117.9406362,34.55016592
4625,-118.1053722,33.90215383
4629,-117.9914952,34.11968586
4631,-118.0709,34.14608056
4642,-118.1074242,34.57578191
4644,-118.2040342,33.89936183
4646,-118.0851202,34.58015091
4658,-118.0844518,33.85648219
4662,-118.2015373,33.88972795
4707,-118.1276932,34.69678593
4724,-118.1169318,33.87345949
4725,-118.0597125,33.84548231
4728,-118.1228573,33.8658676
4765,-118.2390935,33.96404627
4767,-118.2430662,33.96014584
4769,-118.2477242,33.98524983
4770,-118.2564492,33.98205883
4772,-118.2410332,33.96257785
4774,-118.2302442,33.97302283
4780,-117.9012021,33.98817487
4786,-118.3676017,34.09048661
4797,-118.0847364,34.11356948
4800,-118.124588,33.87236991
4803,-118.127444,33.86251873
4804,-118.1157932,33.96707984
4806,-118.1426172,33.88202283
4807,-118.101686,33.98590122
4810,-118.1824972,33.89934354
4972,-118.3093612,33.92793508
4984,-118.2432867,34.01983159
4988,-118.0631632,34.06271286
4989,-118.0905812,34.05990885
4997,-118.4777389,34.42034733
5009,-117.8506014,34.04774471
5014,-117.8106492,34.00150909
5063,-118.1918331,34.05652412
5111,-118.2262613,33.89111
5112,-118.3439034,33.93095604
5128,-118.2164434,33.9009539
5131,-118.1811261,34.01909738
5132,-118.1558374,34.01989774
5137,-118.1440386,33.97812517
