CT10,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,WeaponLaws,AllCrimes
531603,3250,1512,16,14,8,0,1648,52,57098,103,48,200,47,0,1,20,4,0,4,7,0,10,0,0,15,20,8,1,0,12,7,4,113
531701,5217,3446,32,0,12,0,1515,212,53561,122,105,267,0,41,0,48,22,0,8,17,0,52,1,1,70,90,5,0,0,43,17,12,427
531604,3884,2237,0,33,0,0,1579,35,43381,64,83,214,7,21,0,44,12,1,5,14,0,31,0,3,79,82,5,0,0,27,14,8,346
531800,5162,3405,0,76,0,0,1602,79,51045,170,91,263,18,7,0,31,8,0,2,7,0,27,0,1,52,31,3,0,0,25,8,10,212
531702,4732,2815,0,70,41,0,1784,22,54385,277,80,233,34,56,1,47,12,2,3,13,0,64,0,2,72,103,8,0,0,36,48,16,483
531902,3912,3088,0,0,0,0,785,39,66246,50,97,185,43,15,0,16,5,1,1,10,0,34,1,2,18,51,4,0,0,21,9,7,195
531901,6725,4789,51,39,52,0,1699,95,48473,232,84,247,0,1,1,38,11,0,7,14,0,58,1,2,29,45,8,0,0,26,9,14,264
482600,6209,1501,0,65,3956,0,563,124,80440,10,46,193,79,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
482800,4511,935,78,38,1932,29,1327,172,81807,58,62,140,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408629,2724,712,34,13,1618,0,269,78,94491,15,28,80,41,0,0,3,14,0,1,14,0,2,0,1,1,30,0,0,1,3,3,1,74
551800,7530,3232,426,24,648,10,2998,192,69077,265,143,558,54,0,0,1,0,0,0,1,0,1,0,0,11,0,2,0,0,0,6,1,23
501700,3760,3116,33,70,108,0,384,49,91568,26,69,189,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407200,7205,2550,66,0,394,0,4132,63,69461,167,94,472,18,20,1,22,17,0,2,17,0,19,0,2,62,49,4,1,0,23,65,13,317
407702,6818,2954,10,150,1046,0,2519,139,83915,123,84,379,28,9,1,22,17,1,1,12,0,12,0,8,40,25,13,0,0,20,41,6,228
408202,1998,786,11,16,297,0,656,232,68175,11,80,136,9,27,2,58,62,0,8,34,0,64,0,11,120,185,4,2,0,69,277,16,939
407002,3635,1401,46,29,375,9,1620,155,74713,62,58,203,22,6,0,18,15,1,3,13,0,31,0,0,40,55,3,2,0,15,37,8,247
