FID,X,Y
2661,-118.0816404,34.69290327
2697,-118.1604055,33.83511211
2699,-117.9517548,33.99266408
2851,-118.207082,33.90428439
2865,-118.2152401,33.93372942
2965,-118.5459323,34.39094437
2967,-118.1055818,33.97082513
3007,-118.0469704,34.04451875
3009,-117.9535979,33.98403134
3030,-117.9695738,34.57823405
3034,-118.0998035,34.5797124
3046,-117.6601041,34.45187293
3127,-118.4619221,34.40375812
3136,-118.2969195,33.95484328
3145,-118.1924148,33.90810207
3175,-118.0850178,34.07120664
3225,-117.8290803,34.07377184
3275,-117.8373517,34.10184482
3279,-118.1879951,34.67226244
3284,-118.148265,34.68491553
3287,-117.9119068,34.00718953
3293,-118.3735006,34.0903663
3301,-118.3776158,33.9814384
3306,-118.2034188,33.86081185
3343,-118.1793295,33.92241482
3376,-118.2441926,33.96309858
3378,-118.4575162,34.41733672
3395,-118.0600868,34.01331513
3413,-118.3754953,34.0903194
3458,-117.9169119,34.02720165
3461,-118.5598206,34.40845677
3471,-117.9301519,34.09375385
3474,-117.9743161,33.98546193
3479,-117.9678861,33.97702598
3495,-117.9233615,34.00045608
3500,-117.9486855,34.04391687
3505,-118.2674005,33.90609746
3506,-118.2707539,33.92098586
3510,-118.6459142,34.15649396
3511,-118.2101017,34.05782834
3523,-117.9040903,33.97283607
3524,-118.5577748,34.41551246
3555,-118.0586011,34.04995319
3561,-118.1343444,34.01577371
3565,-118.0454054,33.86972467
3575,-118.2268419,33.91604527
3591,-117.9675689,34.55944797
3601,-118.1102752,33.90669602
3608,-118.0010647,33.93217334
3612,-118.0657737,34.09597516
3627,-118.3111424,33.92686446
3672,-118.2990095,33.85711928
3675,-118.2346616,33.92167015
3738,-118.2800465,33.89260414
3752,-117.8332385,34.03234062
3754,-118.6459142,34.15649396
3777,-118.1189712,33.88993405
3807,-118.2113387,33.84629286
3822,-118.1412237,34.70740355
3832,-118.3524968,33.90171155
3845,-117.8550871,34.02233435
3882,-118.1228592,34.70675751
3915,-118.539943,34.38859211
3918,-118.1430177,34.70953534
3921,-118.1016879,34.68056553
3935,-118.4093938,34.15745612
3956,-117.8334459,34.04072532
3978,-117.8053034,34.01035078
4001,-118.7020964,34.15952648
4057,-118.1872934,34.61145314
4082,-118.143353,34.6715627
4102,-118.0118568,34.03361056
4105,-117.8184091,34.10529413
4122,-117.9239785,34.09718535
4141,-118.3842303,34.08751864
4177,-118.2504721,33.95806826
4180,-118.2396968,33.96440179
4185,-118.294294,33.93986359
4211,-118.2820516,33.8312429
4222,-118.2902453,33.80579494
4231,-118.160071,33.88745894
4234,-118.2624991,33.891873
4267,-118.0820948,34.01050657
4292,-118.1791634,34.19468532
4306,-118.1333643,34.67763632
4331,-118.6559062,34.13471085
4342,-118.0795365,34.07517369
4389,-118.1595869,34.18405299
4415,-118.2700643,33.83773566
4466,-118.1069208,34.67743381
4490,-118.0634911,33.91681105
4530,-118.0413654,33.87021352
4593,-118.2131051,33.91316821
4601,-118.1844082,34.67493789
4628,-118.1017293,33.9021004
4678,-118.2753133,33.82254572
4683,-118.0601775,34.11629719
4704,-117.9790232,34.01988972
4710,-117.9621017,34.05511251
4736,-117.8152845,34.11853224
4841,-117.8693064,34.04436417
4855,-118.820766,34.13862413
4938,-118.0813025,33.8960991
4946,-118.1812096,34.05560385
4955,-118.1100295,33.91307509
4965,-117.9790086,34.03647171
4971,-118.1970644,34.68831244
4979,-118.1625019,34.67888878
4985,-117.8675785,34.03577852
4991,-118.2747531,33.88540126
